ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
DMAP1-associated complex	O96019;Q15906;Q6ZRS2;Q96L91;Q9H0E9;Q9H2F5;Q9NPF5;Q9Y230;Q9Y265;Q9Y4A5	86;6944;10847;57634;10902;80314;55929;10856;8607;8295	chromosome organization;DNA repair;DNA topological change;nucleus	organization of chromosome structure;DNA repair;DNA conformation modification (e.g. chromatin);nucleus	ACTL6A;VPS72;SRCAP;EP400;BRD8;EPC1;DMAP1;RUVBL2;RUVBL1;TRRAP	None	None	None
"SNARE complex (STX2, SNAP23)"	O00161;P32856	8773;2054	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle exocytosis	SNAP23;STX2	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
BRG1-SIN3A-HDAC containing SWI/SNF remodeling complex I	O14497;O14744;O96019;P51532;Q12824;Q8TAQ2;Q92769;Q92922;Q969G3;Q96GM5;Q96ST3	8289;10419;86;6597;6598;6601;3066;6599;6605;6602;25942	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein deacetylation;protein hydroxylation;protein methylation;DNA binding;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcriptional control;modification by acetylation, deacetylation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;organization of chromosome structure;nucleus"	ARID1A;PRMT5;ACTL6A;SMARCA4;SMARCB1;SMARCC2;HDAC2;SMARCC1;SMARCE1;SMARCD1;SIN3A	None	"The authors provide evidence, that PRMT5, mSin3A/HDAC2, and the Brg1-based hSWI/SNF complex are involved in cad transcriptional repression."	None
"SNARE complex (STX4, SNAP23)"	O00161;Q12846	8773;6810	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle exocytosis	SNAP23;STX4	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
BRM-SIN3A-HDAC complex	O14497;O14744;O96019;P51531;Q12824;Q8TAQ2;Q92769;Q92922;Q92925;Q969G3;Q96GM5;Q96ST3	8289;10419;86;6595;6598;6601;3066;6599;6603;6605;6602;25942	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein deacetylation;protein hydroxylation;protein methylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcriptional control;modification by acetylation, deacetylation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);organization of chromosome structure;nucleus"	ARID1A;PRMT5;ACTL6A;SMARCA2;SMARCB1;SMARCC2;HDAC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1;SIN3A	None	None	None
BRG1-associated complex	O14497;O14744;O96019;P51532;Q12824;Q8TAQ2;Q92922;Q969G3;Q96GM5	8289;10419;86;6597;6598;6601;6599;6605;6602	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;DNA binding;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcriptional control;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;organization of chromosome structure;nucleus"	ARID1A;PRMT5;ACTL6A;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCE1;SMARCD1	None	None	None
BRM-associated complex	O14497;O14744;O96019;P51531;Q12824;Q8TAQ2;Q92922;Q92925;Q969G3;Q96GM5	8289;10419;86;6595;6598;6601;6599;6603;6605;6602	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;DNA binding;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcriptional control;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;organization of chromosome structure;nucleus"	ARID1A;PRMT5;ACTL6A;SMARCA2;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1;SMARCD1	None	None	None
eRF1-eRF3-GTP-Mg(2+) complex	P15170;P62495	2935;2107	translational termination;magnesium ion binding;GTP binding;small GTPase mediated signal transduction;cytoplasm	translation termination;magnesium binding;GTP binding;small GTPase mediated signal transduction;cytoplasm	GSPT1;ETF1	"Since the authors did not specify ERF3 , we used isoform ERF3A."	eRF3 binds GDP independently of the presence or absence of eRF1 whereas GTP binds only to the eRF1-eRF3 complex. The authors suggest that the quaternary eRF1-eRF3-GTP-Mg2+ complex binds to the ribosomal pretermination complex.	None
FCP1-associated protein complex	O14744;P30876;P35269;P84090;Q15208;Q9BQA1;Q9Y5B0	10419;5431;2962;2079;11329;79084;9150	"DNA-templated transcription, elongation;protein hydroxylation;protein methylation;nucleus"	"transcription elongation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);nucleus"	PRMT5;POLR2B;GTF2F1;ERH;STK38;WDR77;CTDP1	None	FCP1-associated PRMT5 can methylate histones H4 in vitro.	None
FCP1-associated protein complex	O14744;P30876;P35269;P84090;Q15208;Q9BQA1;Q9Y5B0	10419;5431;2962;2079;11329;79084;9150	"DNA-templated transcription, elongation;protein hydroxylation;protein methylation;nucleus"	"transcription elongation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);nucleus"	PRMT5;POLR2B;GTF2F1;ERH;STK38;WDR77;CTDP1	None	The authors suggest a putative role of FCP1 CTD-phosphatase in linking the transcription elongation with the splicing process.	None
"Upf complex (UPF1, UPF2, UPF3a)"	Q92900;Q9H1J1;Q9HAU5	5976;65110;26019	RNA catabolic process;RNA binding;cytoplasm;nuclear matrix	RNA degradation;RNA binding;cytoplasm;nuclear matrix	UPF1;UPF3A;UPF2	None	"Human Upf proteins target mRNA for nonsense-mediated decay when bound downstream of a termination codon. Nonsense-mediated decay (NMD) rids eukaryotic cells of aberrant mRNAs containing premature termination codons. These are discriminated from true termination codons by downstream cis-elements, such as exon-exon junctions."	None
"Upf complex (UPF1, UPF2, UPF3b)"	Q92900;Q9BZI7;Q9HAU5	5976;65109;26019	RNA catabolic process;RNA binding;cytoplasm;nuclear matrix	RNA degradation;RNA binding;cytoplasm;nuclear matrix	UPF1;UPF3B;UPF2	None	"Human Upf proteins target mRNA for nonsense-mediated decay when bound downstream of a termination codon. Nonsense-mediated decay (NMD) rids eukaryotic cells of aberrant mRNAs containing premature termination codons. These are discriminated from true termination codons by downstream cis-elements, such as exon-exon junctions."	None
Postsplicing complex	Q15287;Q92900;Q9BZI7;Q9H1J1;Q9HAU5;Q9UBU9;Q9Y5S9	10921;5976;65109;65110;26019;10482;9939	RNA catabolic process;RNA binding;nuclear matrix	RNA degradation;RNA binding;nuclear matrix	RNPS1;UPF1;UPF3B;UPF3A;UPF2;NXF1;RBM8A	None	"A final quality-control step in mRNA maturation is mRNA surveillance. This process detects mRNAs with truncated open reading frames and subjects them to nonsense-mediated mRNA decay (NMD). The protein RNPS1, a component of the postsplicing complex that is deposited 5' to exon-exon junctions, interacts with the evolutionarily conserved human Upf complex, a central component of NMD."	None
MRIP-MBS-RHOA complex	O14974;P61586;Q6WCQ1	4659;387;23164	protein complex assembly;protein binding;enzyme regulator activity;regulation of catalytic activity	assembly of protein complexes;protein binding;enzymatic activity regulation / enzyme regulator	PPP1R12A;RHOA;MPRIP	None	None	None
MRIP-RHOA complex	P61586;Q6WCQ1	387;23164	protein binding	protein binding	RHOA;MPRIP	None	None	None
MRIP-MBS complex	O14974;Q6WCQ1	4659;23164	protein binding	protein binding	PPP1R12A;MPRIP	None	None	None
20S methylosome-SmD complex	O14744;P54105;P62314;P62318	10419;1207;6632;6634	protein hydroxylation;protein methylation;protein complex assembly;cytoplasm	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);assembly of protein complexes;cytoplasm"	PRMT5;CLNS1A;SNRPD1;SNRPD3	None	PRMT5 and pICln bind only to unmethylated SMD1 and SMD3.	None
"SNARE complex (STX6, SNAP23)"	O00161;O43752	8773;10228	vesicle fusion;synaptic vesicle transport;synaptic vesicle exocytosis	vesicle fusion;synaptic vesicle exocytosis	SNAP23;STX6	None	SNARE (N-ethylmaleimide-sensitive factor attachment protein receptor) complexes are responsible for membrane fusion in the secretory pathway.	None
"mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)"	O95453;Q01780;Q13868;Q8IU60;Q8IZH2;Q92900;Q9BZI7;Q9H0D6;Q9HAU5;Q9NPD3	5073;5394;23404;167227;54464;5976;65109;22803;26019;54512	RNA catabolic process;RNA binding;cytoplasm;nucleus	RNA degradation;RNA binding;cytoplasm;nucleus	PARN;EXOSC10;EXOSC2;DCP2;XRN1;UPF1;UPF3B;XRN2;UPF2;EXOSC4	None	"From experiments, it is concluded that nonsense-mediated mRNA decay (NMD) in mammalian cells degrades mRNAs from both 5' and 3' ends by recruiting decapping and 5'-->3' exonuclease activities as well as deadenylating and 3'-->5' exonuclease activities. All these activities are present within the mRNA decay complex."	None
Anti-SMN protein complex	O14893;P14678;P57678;Q16637;Q9UHI6	8487;6628;50628;None;11218	RNA splicing;protein complex assembly;cytoplasm	splicing;assembly of protein complexes;cytoplasm	GEMIN2;SNRPB;GEMIN4;SMN1; SMN2;DDX20	None	None	None
JBP1-pICln complex	O14744;P14678;P54105	10419;6628;1207	protein hydroxylation;protein methylation;protein complex assembly;cytoplasm	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);assembly of protein complexes;cytoplasm"	PRMT5;SNRPB;CLNS1A	None	None	None
PAR-3-VE-cadherin-beta-catenin complex	P33151;P35222;Q8TEW0	1003;1499;56288	anisotropic cell growth;cell-cell junction assembly;cell junction	directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);cell junction	CDH5;CTNNB1;PARD3	None	None	None
TROY-NGR-LINGO1 complex	Q96FE5;Q9BZR6;Q9NS68	84894;65078;55504	None	None	LINGO1;RTN4R;TNFRSF19	None	None	None
TRPC1-STIM1-ORAI1 complex	P48995;Q96D31;Q9UQB3	7220;84876;1501	ion channel activity;plasma membrane;store-operated calcium entry;calcium ion transport;response to calcium ion	ion channels;eukaryotic plasma membrane / membrane attached	TRPC1;ORAI1;CTNND2	None	The results show that all three proteins are essential for generation of TRPC1-SOC channels (store-operated calcium channels). The dynamic assembly of a TRPC1-STIM1-Orai1 complex is involved in activation of Ca2+ entry.	None
"PAR-6-VE-cadherin complex, endothelial"	P33151;Q9NPB6	1003;50855	anisotropic cell growth;cell-cell junction assembly	directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction)	CDH5;PARD6A	None	None	None
"PAR-6-PAR-3-VE-cadherin complex, endothelial"	P33151;Q8TEW0;Q9NPB6	1003;56288;50855	anisotropic cell growth;cell-cell junction assembly	directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction)	CDH5;PARD3;PARD6A	None	PAR-3 and PAR-6 are recruited independently to cell-cell contacts and the localization of PAR-6 at cell junctions requires fully matured cell-cell contacts.	None
Anti-Sm protein complex	O14744;O14893;P14678;P54105;P57678;Q16637;Q9UHI6	10419;8487;6628;1207;50628;None;11218	protein hydroxylation;protein methylation;cytoplasm	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);cytoplasm"	PRMT5;GEMIN2;SNRPB;CLNS1A;GEMIN4;SMN1; SMN2;DDX20	None	None	None
6S methyltransferase complex	P54105;P62314;P62318	1207;6632;6634	protein complex assembly;protein binding;cytoplasm	assembly of protein complexes;protein binding;cytoplasm	CLNS1A;SNRPD1;SNRPD3	None	None	None
20S methylosome and RG-containing Sm protein complex	O14744;P14678;P54105;P62314;P62316;P62318	10419;6628;1207;6632;6633;6634	RNA splicing;protein hydroxylation;protein methylation;cytoplasm	"splicing;posttranslational modification of amino acids (e.g. hydroxylation, methylation);cytoplasm"	PRMT5;SNRPB;CLNS1A;SNRPD1;SNRPD2;SNRPD3	None	None	None
6S methyltransferase and RG-containing Sm proteins complex	P14678;P54105;P62304;P62306;P62308;P62314;P62316;P62318	6628;1207;6635;6636;6637;6632;6633;6634	RNA splicing;cytoplasm	splicing;cytoplasm	SNRPB;CLNS1A;SNRPE;SNRPF;SNRPG;SNRPD1;SNRPD2;SNRPD3	None	"snRNPs, integral components of the pre-mRNA splicing machinery, consist of seven Sm proteins which assemble in the cytoplasm as a ring structure on the snRNAs U1, U2, U4, and U5. The survival motor neuron (SMN) protein, the spinal muscular atrophy disease gene product, is crucial for snRNP core particle assembly in vivo. Results indicate that methylation of Sm proteins by the methylosome directs Sm proteins to the SMN complex for assembly into snRNP core particles and suggest that the methylosome can regulate snRNP assembly."	None
20S methyltransferase core complex	O14744;P54105	10419;1207	protein hydroxylation;protein methylation;protein complex assembly;protein binding;cytoplasm	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);assembly of protein complexes;protein binding;cytoplasm"	PRMT5;CLNS1A	None	The  methylation of Sm proteins by the methylosome directs Sm proteins to the SMN complex for assembly into snRNP core particles and thus the methylosome can regulate snRNP assembly.	None
MEP50-PRMT5-ICLN complex	O14744;P54105;Q9BQA1	10419;1207;79084	protein hydroxylation;protein methylation;protein complex assembly;protein binding;cytoplasm	"posttranslational modification of amino acids (e.g. hydroxylation, methylation);assembly of protein complexes;protein binding;cytoplasm"	PRMT5;CLNS1A;WDR77	None	None	None
LIN9-BMYB complex	P10244;Q5TKA1	4605;286826	mitotic cell cycle;regulation of cell cycle	mitotic cell cycle;mitotic cell cycle and cell cycle control	MYBL2;LIN9	None	None	None
PCI-PSA-SCG2 complex	P05154;P07288;P13521	5104;354;7857	cellular protein catabolic process	cytoplasmic and nuclear protein degradation	SERPINA5;KLK3;SCG2	None	"The complex formation among PCI, PSA, and Sg is modulated by several factors in seminal plasma."	None
"RICH1/AMOT polarity complex, Flag-Rich1 precipitated"	P47756;P52907;Q4VCS5;Q68EM7;Q8N3R9;Q8NI35;Q96B97;Q9Y5K6	832;829;154796;55114;64398;10207;30011;23607	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	CAPZB;CAPZA1;AMOT;ARHGAP17;MPP5;PATJ;SH3KBP1;CD2AP	"Since the authors did not specify F-actin-capping protein subunit alpha , we used isoform CAPZA1 ."	In an additional immunoblot the authors show that Par-3 and aPKC likely associate with Rich1 at lower levels than Pals1 and Patj since they were not identified by MS. The authors propose that Rich1 and Amot maintain TJ integrity by the coordinate regulation of Cdc42 and by linking specific components of the TJ to intracellular protein trafficking.	None
RICH1-PAR3-aPKC polarity complex	P41743;Q68EM7;Q8TEW0	5584;55114;56288	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;cell-cell junction assembly;cell junction	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);intercellular junction (gap junction/adherens junction);cell junction	PRKCI;ARHGAP17;PARD3	None	"Immunoblotting revealed aPKC and the 100 kDa isoform of Par-3, but not Par-6, in Rich1 immunoprecipitates. Par-3 and aPKC likely associate with Rich1 at lower levels than Pals1 and Patj since they were not identified by MS (see complex 846)."	None
"RICH1/AMOT polarity complex, Flag-Amot precipitated"	O75970;Q4VCS5;Q5T2T1;Q68EM7;Q8IY63;Q8N3R9;Q8NI35;Q9Y2J4	8777;154796;143098;55114;154810;64398;10207;51421	protein localization;GTPase activator activity;positive regulation of GTPase activity;G-protein coupled receptor signaling pathway;anisotropic cell growth;axis specification;cell-cell junction assembly;cell junction	regulation by localization;GTPase activator (GAP);G-protein coupled receptor signalling pathway;directional cell growth (morphogenesis);asymmetries and axis determination;intercellular junction (gap junction/adherens junction);cell junction	MPDZ;AMOT;MPP7;ARHGAP17;AMOTL1;MPP5;PATJ;AMOTL2	None	"The authors suggest that Amot is a component of at least two complexes, only one of which contains Rich1."	None
